Entry	Entry Name	Protein names	Gene Names	Length	Pfam	InterPro	Domain [FT]
I6YBQ3	LRPA_MYCTU	HTH-type transcriptional regulator LrpA (Feast/famine regulatory protein Rv3291c) (MtbLrp) (MtbLrpA)	lrpA Rv3291c	150	PF01037;PF13412;	IPR000485;IPR011008;IPR019888;IPR019887;IPR036388;IPR036390;	DOMAIN 5..66; /note="HTH asnC-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00319"
I6YCA3	CHSE4_MYCTU	Acyl-CoA dehydrogenase FadE26 (ACAD) (EC 1.3.99.-) (3-oxocholest-4-en-26-oyl-CoA dehydrogenase alpha subunit)	fadE26 Rv3504	400	PF00441;PF02770;PF02771;	IPR006091;IPR046373;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;IPR052161;	
I6YFP0	BIRA_MYCTU	Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15) (Biotin--[biotin carboxyl-carrier protein] ligase) (Biotin--protein ligase) (BPL) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA Rv3279c	266	PF02237;PF03099;	IPR045864;IPR004408;IPR003142;IPR004143;	DOMAIN 14..202; /note="BPL/LPL catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01067"
I6YG32	RIMI_MYCTU	N-alpha-acetyltransferase RimI (EC 2.3.1.255) (EC 2.3.1.258)	rimI Rv3420c	158	PF00583;	IPR006464;IPR016181;IPR050832;IPR000182;	DOMAIN 8..155; /note="N-acetyltransferase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00532"
I6YHB0	HNSLK_MYCTU	Histone-like protein Rv3852 (Mycobacterial DNA binding protein 2) (MDP2) (Nucleoid-associated protein) (NAP)	hns Rv3852	134			
L0T905	RSEA_MYCTU	Anti-sigma-E factor RseA (Regulator of SigE) (Sigma-E anti-sigma factor RseA)	rseA Rv1222	154		IPR048186;IPR041916;	
L0T911	PBPB_MYCTU	Penicillin-binding protein PbpB (Penicillin-binding protein 3) (PBP3)	pbpB ftsI pbp3 Rv2163c	679	PF03717;PF00905;	IPR050515;IPR012338;IPR005311;IPR036138;IPR001460;	
L0TC47	LIPV_MYCTU	Lipase LipV (EC 3.1.1.1)	lipV Rv3203	261	PF12697;	IPR000073;IPR029058;IPR050266;IPR000639;	
O05306	LOGH_MYCTU	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1) (Protein LONELY GUY homolog) (LOG homolog)	log Rv1205 RVBD_1205 P425_01253	187	PF03641;	IPR005269;IPR031100;	
O05307	FAC6_MYCTU	Medium/long-chain-fatty-acid--CoA ligase FadD6 (EC 6.2.1.2) (EC 6.2.1.3) (FACL6)	fadD6 Rv1206	597	PF00501;PF13193;	IPR025110;IPR045851;IPR020845;IPR000873;IPR042099;IPR054874;	
O05442	CPNT_MYCTU	Outer membrane channel protein CpnT (Channel protein with necrosis-inducing toxin) [Cleaved into: N-terminal channel domain; Tuberculosis necrotizing toxin (TNT) (NAD(+) glycohydrolase) (EC 3.2.2.5)]	cpnT Rv3903c	846	PF14021;	IPR025331;	DOMAIN 751..846; /note="TNT"; /evidence="ECO:0000255"
O05461	MYCP1_MYCTU	Mycosin-1 (EC 3.4.21.-) (MycP1 protease)	mycP1 Rv3883c	446	PF00082;	IPR000209;IPR036852;IPR015500;IPR023834;	DOMAIN 64..387; /note="Peptidase S8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01240"
O05581	PAT_MYCTU	Acetyltransferase Pat (EC 2.3.1.-) (GCN5-like enzyme) (GCN5-related N-acetyltransferase) (GNAT) (Protein acetyltransferase) (Pat)	Rv0998	333	PF13302;PF00027;	IPR016181;IPR018488;IPR000595;IPR018490;IPR050397;IPR000182;IPR014710;	DOMAIN 156..318; /note="N-acetyltransferase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00532"
O05877	PK21_MYCTU	GDP-polyphosphate phosphotransferase (EC 2.7.4.-) (Polyphosphate kinase PPK2)	ppk2 Rv3232c	295	PF03976;	IPR027417;IPR016898;IPR022488;IPR022486;	
O06218	AHPR_MYCTU	Alkyl hydroperoxide reductase Rv2159c (EC 1.11.1.-) (Alkylhydroperoxidase Rv2159c)	Rv2159c	344	PF02627;	IPR029032;IPR004675;IPR003779;	
O06319	CULP4_MYCTU	Phospholipase Culp4 (EC 3.1.1.-) (Cutinase-like protein 4) (Culp4)	cut4 Rv3452	226	PF01083;	IPR029058;IPR000675;	
O06350	LIPF_MYCTU	Carboxylesterase/phospholipase LipF (EC 3.1.1.1) (EC 3.1.4.3)	lipF Rv3487c	373	PF07859;	IPR013094;IPR029058;IPR050300;IPR033140;	
O06428	NPPPS_MYCTU	Nonaprenyl diphosphate synthase (EC 2.5.1.85) ((2E,6E)-farnesyl diphosphate synthase) (E,E-FPP synthase) (FPP synthase) (EC 2.5.1.10) (Geranylgeranyl diphosphate synthase) (GGPP synthase) (GGPS) (EC 2.5.1.29)	grcC1 Rv0562	335	PF00348;	IPR008949;IPR053541;IPR000092;IPR033749;	
O06543	AMACR_MYCTU	Alpha-methylacyl-CoA racemase (AMACR) (EC 5.1.99.4) (MtMCR)	mcr Rv1143	360	PF02515;	IPR050509;IPR003673;IPR044855;IPR023606;	
O06582	PRPD_MYCTU	2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) (Aconitate hydratase) (ACN) (Aconitase) (EC 4.2.1.3)	prpD Rv1130 RVBD_1130 P425_01179	526	PF19305;PF03972;	IPR053420;IPR036148;IPR042183;IPR042188;IPR005656;IPR045337;IPR045336;	
O06769	NCASE_MYCTU	Neutral ceramidase (N-CDase) (NCDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylsphingosine amidohydrolase)	Rv0669c	637	PF04734;PF17048;	IPR006823;IPR048153;IPR038445;IPR031331;IPR031329;	
O07427	MGLL_MYCTU	Monoacylglycerol lipase (MGL) (EC 3.1.1.23)	Rv0183	279	PF12146;	IPR000073;IPR029058;IPR022742;IPR051044;	
O07732	LIPJ_MYCTU	Bifunctional lipase/adenylate cyclase LipJ [Includes: Lipase (EC 3.1.1.-); Adenylate cyclase (EC 4.6.1.1) (Adenylyl cyclase)]	lipJ Rv1900c	462	PF00561;PF00211;	IPR001054;IPR050471;IPR000073;IPR029058;IPR029787;	DOMAIN 63..146; /note="AB hydrolase-1"; /evidence="ECO:0000255"; DOMAIN 297..408; /note="Guanylate cyclase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00099"
O07783	VAPC4_MYCTU	Ribonuclease VapC4 (RNase VapC4) (EC 3.1.-.-) (Toxin VapC4) (VapC-mt4)	vapC4 Rv0595c	130	PF01850;	IPR029060;IPR002716;IPR050556;IPR022907;	DOMAIN 7..130; /note="PINc"; /evidence="ECO:0000255|HAMAP-Rule:MF_00265"
O33194	G3PP_MYCTU	D-glycerol 3-phosphate phosphatase (D,L-glycerol 3-phosphate phosphatase) (G3P phosphatase)	Rv1692	353	PF18407;PF13344;PF13242;	IPR041065;IPR036412;IPR006357;IPR023214;	
O33283	EPHG_MYCTU	Epoxide hydrolase EphG (EH) (EC 3.3.2.10) (Cholesterol-5,6-oxide hydrolase) (EC 3.3.2.11)	ephG Rv2740	149	PF07858;	IPR013100;IPR032710;	
O33289	ARGA_MYCTU	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)	argA Rv2747	174	PF00583;	IPR016181;IPR000182;IPR045039;	DOMAIN 10..148; /note="N-acetyltransferase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00532"
O33336	PPTT_MYCTU	4'-phosphopantetheinyl transferase PptT (PPTase) (EC 2.7.8.7)	pptT Rv2794c	227	PF17837;PF01648;	IPR008278;IPR037143;IPR041354;IPR003542;	
O33348	RELG_MYCTU	Toxin RelG (EC 3.1.-.-) (Putative endoribonuclease RelG)	relG relE2 Rv2866	87	PF05016;	IPR007712;IPR035093;	
O33363	GDSL_MYCTU	GDSL lipase Rv0518 (EC 3.1.1.-)	Rv0518	231	PF13472;	IPR054624;IPR053140;IPR013830;IPR036514;	
O50406	DITCY_MYCTU	Type B diterpene cyclase (EC 5.5.1.16)	Rv3377c	501	PF13243;	IPR032696;IPR050148;IPR008930;	
O53166	ACNA_MYCTU	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (Iron-responsive protein-like) (IRP-like) (Probable 2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (RNA-binding protein)	acn Rv1475c RVBD_1475c P425_01532	943	PF00330;PF00694;	IPR044137;IPR015931;IPR001030;IPR015928;IPR006249;IPR018136;IPR036008;IPR000573;	
O53168	RIPA_MYCTU	Peptidoglycan endopeptidase RipA (EC 3.4.-.-) (Macrophage invasion and intracellular persistence protein A) (Resuscitation-promoting factor interaction partner A) (Rpf-interacting protein A)	ripA Rv1477	472	PF00877;	IPR000064;IPR038765;IPR051794;IPR049836;	DOMAIN 340..472; /note="NlpC/P60"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01284"
O53177	RPFE_MYCTU	Resuscitation-promoting factor RpfE (EC 3.-.-.-)	rpfE Rv2450c MTV008.06c	172	PF06737;	IPR023346;IPR010618;	
O53181	KORB_MYCTU	2-oxoglutarate oxidoreductase subunit KorB (EC 1.2.7.3) (Alpha-ketoglutarate oxidoreductase subunit beta) (KG oxidoreductase subunit beta) (KGO subunit beta) (KOR subunit beta)	korB Rv2454c	373	PF02775;	IPR051457;IPR029061;IPR011766;	
O53289	SERB2_MYCTU	Phosphoserine phosphatase SerB2 (PSP) (PSPase) (EC 3.1.3.3) (O-phosphoserine phosphohydrolase) (Protein-serine/threonine phosphatase) (EC 3.1.3.16)	serB2 Rv3042c	409	PF13740;PF21086;PF12710;	IPR045865;IPR002912;IPR050582;IPR036412;IPR023214;IPR004469;IPR049148;	DOMAIN 8..86; /note="ACT 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01007"; DOMAIN 102..174; /note="ACT 2"; /evidence="ECO:0000305|PubMed:25521849"
O53353	WHB2A_MYCTU	Transcriptional regulator WhiB2 (Probable chaperone WhiB2)	whiB2 Rv3260c	89	PF02467;	IPR034768;IPR003482;	DOMAIN 26..83; /note="4Fe-4S Wbl-type"
O53361	SAPM_MYCTU	Phosphatidylinositol-3-phosphatase (PI3P phosphatase) (EC 3.1.3.64) (Acid phosphatase SapM) (EC 3.1.3.2) (Secreted acid phosphatase)	sapM Rv3310	299	PF04185;	IPR017850;IPR007312;	
O53423	GDSLL_MYCTU	GDSL-like esterase Rv1075c (EC 3.1.-.-) (Acetylesterase) (EC 3.1.1.6)	Rv1075c	314	PF13472;	IPR051532;IPR013830;IPR036514;	
O53424	LIPU_MYCTU	Esterase LipU (EC 3.1.1.-)	lipU Rv1076	297	PF07859;	IPR013094;IPR029058;IPR050300;IPR033140;	
O53443	PHOH2_MYCTU	Protein PhoH2 (EC 3.1.-.-) (EC 5.6.2.5) (RNA 5'-3' helicase PhoH2) (Toxin PhoP2)	phoH2 Rv1095	433	PF02562;PF13638;	IPR027417;IPR003714;IPR051451;IPR029060;IPR002716;	DOMAIN 5..132; /note="PINc"; /evidence="ECO:0000255"
O53493	PPMNT_MYCTU	Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase [Includes: Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269); Polyprenol monophosphomannose synthase (PPM synthase) (Polyprenol-P-Man synthase) (Ppm1) (EC 2.4.1.-) (Dolichol-phosphate mannose synthase) (EC 2.4.1.83)]	ppm1 lnt Rv2051c	874	PF00795;PF00535;PF20154;	IPR004563;IPR003010;IPR036526;IPR039528;IPR001173;IPR045378;IPR029044;	DOMAIN 241..497; /note="CN hydrolase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00054"
O53512	AROG_MYCTU	Phospho-2-dehydro-3-deoxyheptonate aldolase AroG (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroG Rv2178c	462	PF01474;	IPR013785;IPR002480;	
O53547	CHSB1_MYCTU	Hydroxyacyl-CoA dehydrogenase ChsB1 (EC 1.1.1.-)	chsB1 Rv3502c	317	PF00106;	IPR036291;IPR051687;IPR020904;IPR002347;	
O53551	FAC17_MYCTU	Medium/long-chain-fatty-acid--CoA ligase FadD17 (FACL) (EC 6.2.1.2) (EC 6.2.1.3) (Acyl-CoA synthetase) (FACL17) (Steroid-24-oyl-CoA synthetase)	fadD17 Rv3506	502	PF00501;PF13193;	IPR025110;IPR045851;IPR020845;IPR000873;IPR042099;	
O53561	ECH19_MYCTU	Enoyl-CoA hydratase EchA19 (EC 4.2.1.-)	echA19 Rv3516	266	PF00378;	IPR029045;IPR001753;IPR014748;	
O53580	FAA32_MYCTU	Long-chain-fatty-acid--AMP ligase FadD32 (FAAL) (EC 6.2.1.20) (Acyl-AMP synthetase) (FAAL32)	fadD32 Rv3801c	637	PF00501;	IPR045851;IPR000873;IPR042099;IPR040097;IPR047968;	
O53581	CULP6_MYCTU	Carboxylesterase/lipase Culp6 (EC 3.1.1.-) (Cell wall lipase) (Cutinase-like protein 6) (Culp6)	cut6 Rv3802c	336	PF01083;	IPR029058;IPR000675;	
O53585	GLFT2_MYCTU	Galactofuranosyltransferase GlfT2 (GalTr 2) (EC 2.4.1.288) (Arabinogalactan galactosyltransferase 2) (Galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase) (Polymerizing galactofuranosyltransferase GlfT2)	glfT2 glfT Rv3808c	637	PF19320;PF17994;PF13641;	IPR045699;IPR040492;IPR029044;	
O53605	DARG_MYCTU	DNA ADP-ribosyl glycohydrolase (DarG) (EC 3.2.2.-) (Antitoxin DarG)	darG Rv0060	352	PF01661;	IPR050892;IPR002589;IPR043472;	DOMAIN 1..155; /note="Macro"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00490"
O53611	IDH2_MYCTU	Isocitrate dehydrogenase [NADP] 2 (ICD-2) (IDH 2) (EC 1.1.1.42) (Oxalosuccinate decarboxylase)	icd-2 icd2 Rv0066c	745	PF03971;	IPR004436;	
O53638	LDT1_MYCTU	L,D-transpeptidase 1 (LDT 1) (EC 2.3.2.-) (Ldt(Mt1))	ldtA Rv0116c RVBD_0116c P425_00122	251	PF17964;PF03734;	IPR041280;IPR050979;IPR005490;IPR038063;	DOMAIN 125..250; /note="L,D-TPase catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01373"
O53664	HTDX_MYCTU	3-hydroxyacyl-thioester dehydratase X (EC 4.2.1.-) (3-hydroxybutyryl-CoA dehydratase) (EC 4.2.1.55) (Enoyl-CoA hydratase 2) (EC 4.2.1.119)	htdX Rv0241c	280	PF01575;	IPR003965;IPR029069;IPR002539;	DOMAIN 162..256; /note="MaoC-like"; /evidence="ECO:0000255"
O53666	FADE5_MYCTU	Broad-specificity linear acyl-CoA dehydrogenase FadE5 (Long-chain-acyl-CoA dehydrogenase) (EC 1.3.8.8) (Medium-chain-acyl-CoA dehydrogenase) (EC 1.3.8.7) (Short-chain-acyl-CoA dehydrogenase) (EC 1.3.8.1)	fadE5 Rv0244c	611	PF00441;PF12806;PF02770;PF12418;	IPR025878;IPR020953;IPR006091;IPR036250;IPR009075;IPR009100;IPR052166;IPR034188;	
O53699	STF0_MYCTU	Trehalose 2-sulfotransferase (EC 2.8.2.37)	stf0 Rv0295c	267	PF09037;	IPR027417;IPR015124;IPR024628;	
O53873	XPB_MYCTU	DNA 3'-5' helicase XPB (EC 5.6.2.4)	XPB ercc3 Rv0861c	549	PF16203;PF13625;PF04851;	IPR050615;IPR032438;IPR006935;IPR014001;IPR001650;IPR027417;IPR032830;	DOMAIN 190..344; /note="Helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 399..545; /note="Helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00542"
O53896	PEPD_MYCTU	Serine protease PepD (EC 3.4.21.107) (HtrA-like serine protease)	pepD htrA2 Rv0983	464	PF13180;PF13365;	IPR051201;IPR001478;IPR036034;IPR009003;IPR043504;IPR001940;	DOMAIN 368..449; /note="PDZ"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00143"
O53901	PKS5_MYCTU	Mycocerosic acid synthase-like polyketide synthase (MAS-like PKS) (EC 2.3.1.-) (Polyketide synthase Pks5)	pks5 Rv1527c	2108	PF00698;PF08240;PF00107;PF22621;PF00109;PF02801;PF08659;PF21089;PF00550;PF14765;	IPR001227;IPR036736;IPR014043;IPR016035;IPR013149;IPR013154;IPR011032;IPR018201;IPR014031;IPR014030;IPR016036;IPR053386;IPR036291;IPR020841;IPR042104;IPR020807;IPR049551;IPR049552;IPR020843;IPR013968;IPR049900;IPR050091;IPR020806;IPR009081;IPR016039;	DOMAIN 24..436; /note="Ketosynthase family 3 (KS3)"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01348"; DOMAIN 905..1191; /note="PKS/mFAS DH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; DOMAIN 2025..2101; /note="Carrier"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00258"
O65934	ABC1_MYCTU	ABC transporter ATP-binding/permease protein Rv1747 (EC 7.-.-.-)	Rv1747	865	PF01061;PF00005;PF00498;	IPR003593;IPR013525;IPR003439;IPR017871;IPR050352;IPR000253;IPR027417;IPR008984;	DOMAIN 29..78; /note="FHA 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00086"; DOMAIN 230..279; /note="FHA 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00086"; DOMAIN 319..552; /note="ABC transporter"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00434"; DOMAIN 596..810; /note="ABC transmembrane type-2"
O69652	CDS1_MYCTU	L-cysteine desulfhydrase Cds1 (EC 4.4.1.1)	cds1 Rv3684	368	PF00291;	IPR047586;IPR050214;IPR001926;IPR036052;	
O69711	NMTR_MYCTU	HTH-type transcriptional regulator NmtR	nmtR Rv3744	120	PF01022;	IPR011991;IPR001845;IPR051011;IPR036388;IPR036390;	DOMAIN 15..109; /note="HTH arsR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00340"
O69729	TCRY_MYCTU	Probable sensor histidine kinase TcrY (EC 2.7.13.3)	tcrY Rv3764c	475	PF00672;PF02518;PF00512;	IPR003660;IPR036890;IPR005467;IPR003661;IPR036097;IPR004358;IPR050428;	DOMAIN 176..238; /note="HAMP"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00102"; DOMAIN 253..466; /note="Histidine kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00107"
P71590	FHAA_MYCTU	FHA domain-containing protein FhaA	fhaA TB39.8 Rv0020c	527	PF00498;PF12401;	IPR050923;IPR000253;IPR022128;IPR042287;IPR008984;	DOMAIN 455..504; /note="FHA"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00086"
P71629	CAS10_MYCTU	CRISPR system single-strand-specific deoxyribonuclease Cas10/Csm1 (subtype III-A) (ssDNase Cas10) (EC 3.1.-.-) (Cyclic oligoadenylate synthase) (EC 2.7.7.-)	cas10 csm1 Rv2823c	809	PF22335;PF20824;PF18211;	IPR054767;IPR013408;IPR052117;IPR048693;IPR041062;IPR000160;IPR006674;IPR043128;	DOMAIN 1..98; /note="HD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01175"; DOMAIN 547..700; /note="GGDEF"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00095"
