gene_id,domain_name,domain_start,domain_end
rv3506,PF00501,NA,NA
rv3506,PF13193,NA,NA
echa19,PF00378,NA,NA
rv3516,PF00378,NA,NA
fadd32,PF00501,NA,NA
rv3801c,PF00501,NA,NA
cut6,PF01083,NA,NA
rv3802c,PF01083,NA,NA
glft2,PF19320,NA,NA
glft2,PF17994,NA,NA
glft2,PF13641,NA,NA
glft,PF19320,NA,NA
glft,PF17994,NA,NA
glft,PF13641,NA,NA
rv3808c,PF19320,NA,NA
rv3808c,PF17994,NA,NA
rv3808c,PF13641,NA,NA
darg,PF01661,1,155
rv0060,PF01661,1,155
icd-2,PF03971,NA,NA
icd2,PF03971,NA,NA
rv0066c,PF03971,NA,NA
ldta,PF17964,125,250
ldta,PF03734,125,250
rv0116c,PF17964,125,250
rv0116c,PF03734,125,250
rvbd_0116c,PF17964,125,250
rvbd_0116c,PF03734,125,250
p425_00122,PF17964,125,250
p425_00122,PF03734,125,250
htdx,PF01575,162,256
rv0241c,PF01575,162,256
fade5,PF00441,NA,NA
fade5,PF12806,NA,NA
fade5,PF02770,NA,NA
fade5,PF12418,NA,NA
rv0244c,PF00441,NA,NA
rv0244c,PF12806,NA,NA
rv0244c,PF02770,NA,NA
rv0244c,PF12418,NA,NA
stf0,PF09037,NA,NA
rv0295c,PF09037,NA,NA
xpb,PF16203,190,344
xpb,PF13625,190,344
xpb,PF04851,190,344
ercc3,PF16203,190,344
ercc3,PF13625,190,344
ercc3,PF04851,190,344
rv0861c,PF16203,190,344
rv0861c,PF13625,190,344
rv0861c,PF04851,190,344
pepd,PF13180,368,449
pepd,PF13365,368,449
htra2,PF13180,368,449
htra2,PF13365,368,449
rv0983,PF13180,368,449
rv0983,PF13365,368,449
pks5,PF00698,24,436
pks5,PF08240,24,436
pks5,PF00107,24,436
pks5,PF22621,24,436
pks5,PF00109,24,436
pks5,PF02801,24,436
pks5,PF08659,24,436
pks5,PF21089,24,436
pks5,PF00550,24,436
pks5,PF14765,24,436
rv1527c,PF00698,24,436
rv1527c,PF08240,24,436
rv1527c,PF00107,24,436
rv1527c,PF22621,24,436
rv1527c,PF00109,24,436
rv1527c,PF02801,24,436
rv1527c,PF08659,24,436
rv1527c,PF21089,24,436
rv1527c,PF00550,24,436
rv1527c,PF14765,24,436
rv1747,PF01061,29,78
rv1747,PF00005,29,78
rv1747,PF00498,29,78
cds1,PF00291,NA,NA
rv3684,PF00291,NA,NA
nmtr,PF01022,15,109
rv3744,PF01022,15,109
tcry,PF00672,176,238
tcry,PF02518,176,238
tcry,PF00512,176,238
rv3764c,PF00672,176,238
rv3764c,PF02518,176,238
rv3764c,PF00512,176,238
fhaa,PF00498,455,504
fhaa,PF12401,455,504
tb39.8,PF00498,455,504
tb39.8,PF12401,455,504
rv0020c,PF00498,455,504
rv0020c,PF12401,455,504
cas10,PF22335,1,98
cas10,PF20824,1,98
cas10,PF18211,1,98
csm1,PF22335,1,98
csm1,PF20824,1,98
csm1,PF18211,1,98
rv2823c,PF22335,1,98
rv2823c,PF20824,1,98
rv2823c,PF18211,1,98
pona1,PF00912,NA,NA
pona1,PF00905,NA,NA
rv0050,PF00912,NA,NA
rv0050,PF00905,NA,NA
mtcy21d4.13,PF00912,NA,NA
mtcy21d4.13,PF00905,NA,NA
mbta,PF00501,NA,NA
mbta,PF13193,NA,NA
rv2384,PF00501,NA,NA
rv2384,PF13193,NA,NA
lipl,PF00144,NA,NA
rv1497,PF00144,NA,NA
fade28,PF00441,NA,NA
fade28,PF02771,NA,NA
rv3544c,PF00441,NA,NA
rv3544c,PF02771,NA,NA
fade29,PF00441,NA,NA
fade29,PF02770,NA,NA
fade29,PF02771,NA,NA
rv3543c,PF00441,NA,NA
rv3543c,PF02770,NA,NA
rv3543c,PF02771,NA,NA
ksha,PF19298,26,128
ksha,PF00355,26,128
rv3526,PF19298,26,128
rv3526,PF00355,26,128
rne,PF10150,376,453
rv2444c,PF10150,376,453
lipn,PF07859,NA,NA
rv2970c,PF07859,NA,NA
fadd29,PF00501,NA,NA
fadd29,PF23024,NA,NA
rv2950c,PF00501,NA,NA
rv2950c,PF23024,NA,NA
ndh,PF07992,NA,NA
rv1854c,PF07992,NA,NA
ndha,PF07992,NA,NA
rv0392c,PF07992,NA,NA
ppsc,PF00698,34,462
ppsc,PF08240,34,462
ppsc,PF13602,34,462
ppsc,PF00109,34,462
ppsc,PF02801,34,462
ppsc,PF08659,34,462
ppsc,PF21089,34,462
ppsc,PF00550,34,462
ppsc,PF14765,34,462
rv2933,PF00698,34,462
rv2933,PF08240,34,462
rv2933,PF13602,34,462
rv2933,PF00109,34,462
rv2933,PF02801,34,462
rv2933,PF08659,34,462
rv2933,PF21089,34,462
rv2933,PF00550,34,462
rv2933,PF14765,34,462
lpql,PF02225,140,231
lpql,PF04389,140,231
rv0418,PF02225,140,231
rv0418,PF04389,140,231
trcs,PF02518,207,269
trcs,PF00512,207,269
rv1032c,PF02518,207,269
rv1032c,PF00512,207,269
mazg,PF03819,NA,NA
rv1021,PF03819,NA,NA
acca3,PF02785,11,455
acca3,PF00289,11,455
acca3,PF00364,11,455
acca3,PF02786,11,455
rv3285,PF02785,11,455
rv3285,PF00289,11,455
rv3285,PF00364,11,455
rv3285,PF02786,11,455
relk,PF06769,NA,NA
rele3,PF06769,NA,NA
yoeb,PF06769,NA,NA
rv3358,PF06769,NA,NA
mtv004.15,PF06769,NA,NA
whib4,PF02467,36,92
rv3681c,PF02467,36,92
whib3,PF02467,22,86
rv3416,PF02467,22,86
whib1,PF02467,8,70
rv3219,PF02467,8,70
vapc15,PF01850,1,121
rv2010,PF01850,1,121
mtcy39.07c,PF01850,1,121
rv2623,PF00582,NA,NA
tb31.7,PF00582,NA,NA
urec,PF01979,136,577
urec,PF00449,136,577
rv1850,PF01979,136,577
rv1850,PF00449,136,577
mtcy359.23c,PF01979,136,577
mtcy359.23c,PF00449,136,577
rv1086,PF01255,NA,NA
mtv017.39,PF01255,NA,NA
upps,PF01255,NA,NA
rv2361c,PF01255,NA,NA
mtcy27.19,PF01255,NA,NA
eis,PF17668,3,154
eis,PF13527,3,154
eis,PF13530,3,154
rv2416c,PF17668,3,154
rv2416c,PF13527,3,154
rv2416c,PF13530,3,154
mtcy253.04,PF17668,3,154
mtcy253.04,PF13527,3,154
mtcy253.04,PF13530,3,154
rv3806c,PF01040,NA,NA
thya,PF00303,NA,NA
rv2764c,PF00303,NA,NA
mtv002.29c,PF00303,NA,NA
lysx,PF09924,NA,NA
lysx,PF00152,NA,NA
lysx,PF16995,NA,NA
lysx,PF01336,NA,NA
lyss2,PF09924,NA,NA
lyss2,PF00152,NA,NA
lyss2,PF16995,NA,NA
lyss2,PF01336,NA,NA
lysu,PF09924,NA,NA
lysu,PF00152,NA,NA
lysu,PF16995,NA,NA
lysu,PF01336,NA,NA
mprf,PF09924,NA,NA
mprf,PF00152,NA,NA
mprf,PF16995,NA,NA
mprf,PF01336,NA,NA
rv1640c,PF09924,NA,NA
rv1640c,PF00152,NA,NA
rv1640c,PF16995,NA,NA
rv1640c,PF01336,NA,NA
mtcy06h11.04c,PF09924,NA,NA
mtcy06h11.04c,PF00152,NA,NA
mtcy06h11.04c,PF16995,NA,NA
mtcy06h11.04c,PF01336,NA,NA
glyqs,PF03129,NA,NA
glyqs,PF00587,NA,NA
glys,PF03129,NA,NA
glys,PF00587,NA,NA
rv2357c,PF03129,NA,NA
rv2357c,PF00587,NA,NA
mtcy27.23,PF03129,NA,NA
mtcy27.23,PF00587,NA,NA
mtcy98.26,PF03129,NA,NA
mtcy98.26,PF00587,NA,NA
mbti,PF00425,NA,NA
trpe2,PF00425,NA,NA
rv2386c,PF00425,NA,NA
otsb,PF02358,NA,NA
otsb2,PF02358,NA,NA
rv3372,PF02358,NA,NA
tkt,PF02779,NA,NA
tkt,PF22613,NA,NA
tkt,PF00456,NA,NA
rv1449c,PF02779,NA,NA
rv1449c,PF22613,NA,NA
rv1449c,PF00456,NA,NA
mtcy493.05,PF02779,NA,NA
mtcy493.05,PF22613,NA,NA
mtcy493.05,PF00456,NA,NA
rpfd,PF06737,NA,NA
rv2389c,PF06737,NA,NA
mtcy253.32,PF06737,NA,NA
rpfb,PF03990,192,272
rpfb,PF07501,192,272
rpfb,PF06737,192,272
rv1009,PF03990,192,272
rv1009,PF07501,192,272
rv1009,PF06737,192,272
mtc1237.26,PF03990,192,272
mtc1237.26,PF07501,192,272
mtc1237.26,PF06737,192,272
tpx,PF08534,18,165
rv1932,PF08534,18,165
mtcy09f9.32c,PF08534,18,165
ilvg,PF02775,NA,NA
ilvg,PF00205,NA,NA
ilvg,PF02776,NA,NA
rv1820,PF02775,NA,NA
rv1820,PF00205,NA,NA
rv1820,PF02776,NA,NA
mtcy1a11.23c,PF02775,NA,NA
mtcy1a11.23c,PF00205,NA,NA
mtcy1a11.23c,PF02776,NA,NA
ilvb1,PF02775,NA,NA
ilvb1,PF00205,NA,NA
ilvb1,PF02776,NA,NA
rv3003c,PF02775,NA,NA
rv3003c,PF00205,NA,NA
rv3003c,PF02776,NA,NA
mtv012.17c,PF02775,NA,NA
mtv012.17c,PF00205,NA,NA
mtv012.17c,PF02776,NA,NA
tpia,PF00121,NA,NA
tpi,PF00121,NA,NA
rv1438,PF00121,NA,NA
mtcy493.16c,PF00121,NA,NA
gyrb,PF00204,453,567
gyrb,PF00986,453,567
gyrb,PF02518,453,567
gyrb,PF01751,453,567
rv0005,PF00204,453,567
rv0005,PF00986,453,567
rv0005,PF02518,453,567
rv0005,PF01751,453,567
mtcy10h4.03,PF00204,453,567
mtcy10h4.03,PF00986,453,567
mtcy10h4.03,PF02518,453,567
mtcy10h4.03,PF01751,453,567
gyra,PF03989,41,510
gyra,PF00521,41,510
rv0006,PF03989,41,510
rv0006,PF00521,41,510
mtcy10h4.04,PF03989,41,510
mtcy10h4.04,PF00521,41,510
topa,PF01131,18,142
topa,PF01751,18,142
topa,PF13368,18,142
rv3646c,PF01131,18,142
rv3646c,PF01751,18,142
rv3646c,PF13368,18,142
mtcy15c10.06,PF01131,18,142
mtcy15c10.06,PF01751,18,142
mtcy15c10.06,PF13368,18,142
thyx,PF02511,7,233
rv2754c,PF02511,7,233
mtv002.19c,PF02511,7,233
thrc,PF00291,NA,NA
rv1295,PF00291,NA,NA
mtcy373.15,PF00291,NA,NA
trxa,PF00085,2,113
trx,PF00085,2,113
trxc,PF00085,2,113
rv3914,PF00085,2,113
mtv028.05,PF00085,2,113
metb,PF01053,NA,NA
rv1079,PF01053,NA,NA
mtv017.32,PF01053,NA,NA
ffh,PF00448,NA,NA
ffh,PF02881,NA,NA
ffh,PF02978,NA,NA
rv2916c,PF00448,NA,NA
rv2916c,PF02881,NA,NA
rv2916c,PF02978,NA,NA
mtcy338.04c,PF00448,NA,NA
mtcy338.04c,PF02881,NA,NA
mtcy338.04c,PF02978,NA,NA
ftsy,PF00448,NA,NA
ftsy,PF02881,NA,NA
rv2921c,PF00448,NA,NA
rv2921c,PF02881,NA,NA
mtcy338.10c,PF00448,NA,NA
mtcy338.10c,PF02881,NA,NA
sodb,PF02777,NA,NA
sodb,PF00081,NA,NA
sod,PF02777,NA,NA
sod,PF00081,NA,NA
soda,PF02777,NA,NA
soda,PF00081,NA,NA
rv3846,PF02777,NA,NA
rv3846,PF00081,NA,NA
mtcy01a6.22c,PF02777,NA,NA
mtcy01a6.22c,PF00081,NA,NA
sodc,PF00080,NA,NA
rv0432,PF00080,NA,NA
mtcy22g10.29,PF00080,NA,NA
gmha,PF13580,38,196
lpca,PF13580,38,196
rv0113,PF13580,38,196
mtv031.07,PF13580,38,196
cobb,PF02146,1,235
sir2,PF02146,1,235
rv1151c,PF02146,1,235
mtci65.18c,PF02146,1,235
sige,PF04542,NA,NA
sige,PF08281,NA,NA
rv1221,PF04542,NA,NA
rv1221,PF08281,NA,NA
sigc,PF04542,NA,NA
sigc,PF08281,NA,NA
rv2069,PF04542,NA,NA
rv2069,PF08281,NA,NA
mtcy49.08,PF04542,NA,NA
mtcy49.08,PF08281,NA,NA
sigh,PF04542,NA,NA
sigh,PF08281,NA,NA
rpoe,PF04542,NA,NA
rpoe,PF08281,NA,NA
rv3223c,PF04542,NA,NA
rv3223c,PF08281,NA,NA
mtcy07d11.03,PF04542,NA,NA
mtcy07d11.03,PF08281,NA,NA
siga,PF00140,NA,NA
siga,PF04542,NA,NA
siga,PF04539,NA,NA
siga,PF04545,NA,NA
mysa,PF00140,NA,NA
mysa,PF04542,NA,NA
mysa,PF04539,NA,NA
mysa,PF04545,NA,NA
rpod,PF00140,NA,NA
rpod,PF04542,NA,NA
rpod,PF04539,NA,NA
rpod,PF04545,NA,NA
rpov,PF00140,NA,NA
rpov,PF04542,NA,NA
rpov,PF04539,NA,NA
rpov,PF04545,NA,NA
rv2703,PF00140,NA,NA
rv2703,PF04542,NA,NA
rv2703,PF04539,NA,NA
rv2703,PF04545,NA,NA
mtcy05a6.24,PF00140,NA,NA
mtcy05a6.24,PF04542,NA,NA
mtcy05a6.24,PF04539,NA,NA
mtcy05a6.24,PF04545,NA,NA
sigf,PF04542,NA,NA
sigf,PF04539,NA,NA
sigf,PF04545,NA,NA
rv3286c,PF04542,NA,NA
rv3286c,PF04539,NA,NA
rv3286c,PF04545,NA,NA
sigb,PF00140,NA,NA
sigb,PF04542,NA,NA
sigb,PF04539,NA,NA
sigb,PF04545,NA,NA
mysb,PF00140,NA,NA
mysb,PF04542,NA,NA
mysb,PF04539,NA,NA
mysb,PF04545,NA,NA
rv2710,PF00140,NA,NA
rv2710,PF04542,NA,NA
rv2710,PF04539,NA,NA
rv2710,PF04545,NA,NA
glya2,PF00464,NA,NA
rv0070c,PF00464,NA,NA
mtv030.13c,PF00464,NA,NA
glya1,PF00464,NA,NA
glya,PF00464,NA,NA
rv1093,PF00464,NA,NA
mtv017.46,PF00464,NA,NA
embr,PF03704,308,357
embr,PF00498,308,357
embr,PF00486,308,357
rv1267c,PF03704,308,357
rv1267c,PF00498,308,357
rv1267c,PF00486,308,357
mtcy50.15,PF03704,308,357
mtcy50.15,PF00498,308,357
mtcy50.15,PF00486,308,357
dost,PF13185,61,198
dost,PF13492,61,198
dost,PF02518,61,198
dost,PF07730,61,198
rv2027c,PF13185,61,198
rv2027c,PF13492,61,198
rv2027c,PF02518,61,198
rv2027c,PF07730,61,198
devs,PF13185,63,200
devs,PF02518,63,200
devs,PF07730,63,200
doss,PF13185,63,200
doss,PF02518,63,200
doss,PF07730,63,200
rv3132c,PF13185,63,200
rv3132c,PF02518,63,200
rv3132c,PF07730,63,200
senx3,PF02518,164,380
senx3,PF00512,164,380
rv0490,PF02518,164,380
rv0490,PF00512,164,380
mtcy20g9.16,PF02518,164,380
mtcy20g9.16,PF00512,164,380
mtrb,PF00672,235,287
mtrb,PF02518,235,287
mtrb,PF00512,235,287
rv3245c,PF00672,235,287
rv3245c,PF02518,235,287
rv3245c,PF00512,235,287
mtcy20b11.20c,PF00672,235,287
mtcy20b11.20c,PF02518,235,287
mtcy20b11.20c,PF00512,235,287
mprb,PF00672,186,238
mprb,PF02518,186,238
mprb,PF00512,186,238
rv0982,PF00672,186,238
rv0982,PF02518,186,238
rv0982,PF00512,186,238
kdpd,PF13493,639,857
kdpd,PF02518,639,857
kdpd,PF00512,639,857
kdpd,PF02702,639,857
kdpd,PF00582,639,857
rv1028c,PF13493,639,857
rv1028c,PF02518,639,857
rv1028c,PF00512,639,857
rv1028c,PF02702,639,857
rv1028c,PF00582,639,857
mtcy10g2.21,PF13493,639,857
mtcy10g2.21,PF02518,639,857
mtcy10g2.21,PF00512,639,857
mtcy10g2.21,PF02702,639,857
mtcy10g2.21,PF00582,639,857
pdtas,PF12282,300,495
pdtas,PF02518,300,495
pdtas,PF07568,300,495
rv3220c,PF12282,300,495
rv3220c,PF02518,300,495
rv3220c,PF07568,300,495
regx3,PF00072,3,116
regx3,PF00486,3,116
rv0491,PF00072,3,116
rv0491,PF00486,3,116
mtcy20g9.17,PF00072,3,116
mtcy20g9.17,PF00486,3,116
prra,PF00072,9,123
prra,PF00486,9,123
rv0903c,PF00072,9,123
rv0903c,PF00486,9,123
mtcy31.31c,PF00072,9,123
mtcy31.31c,PF00486,9,123
pdtar,PF03861,15,129
pdtar,PF00072,15,129
rv1626,PF03861,15,129
rv1626,PF00072,15,129
mtra,PF00072,7,120
mtra,PF00486,7,120
rv3246c,PF00072,7,120
rv3246c,PF00486,7,120
mtcy20b11.21c,PF00072,7,120
mtcy20b11.21c,PF00486,7,120
mpra,PF00072,4,118
mpra,PF00486,4,118
rv0981,PF00072,4,118
rv0981,PF00486,4,118
seca2,PF21090,NA,NA
seca2,PF07517,NA,NA
seca2,PF01043,NA,NA
seca2,PF07516,NA,NA
rv1821,PF21090,NA,NA
rv1821,PF07517,NA,NA
rv1821,PF01043,NA,NA
rv1821,PF07516,NA,NA
mtcy1a11.22c,PF21090,NA,NA
mtcy1a11.22c,PF07517,NA,NA
mtcy1a11.22c,PF01043,NA,NA
mtcy1a11.22c,PF07516,NA,NA
seca1,PF21090,NA,NA
seca1,PF07517,NA,NA
seca1,PF01043,NA,NA
seca1,PF07516,NA,NA
rv3240c,PF21090,NA,NA
rv3240c,PF07517,NA,NA
rv3240c,PF01043,NA,NA
rv3240c,PF07516,NA,NA
mtcy20b11.15c,PF21090,NA,NA
mtcy20b11.15c,PF07517,NA,NA
mtcy20b11.15c,PF01043,NA,NA
mtcy20b11.15c,PF07516,NA,NA
inha,PF13561,NA,NA
rv1484,PF13561,NA,NA
mtcy277.05,PF13561,NA,NA
dpre2,PF00106,NA,NA
rv3791,PF00106,NA,NA
mtcy13d12.25,PF00106,NA,NA
fabg3,PF13561,NA,NA
rv2002,PF13561,NA,NA
mtcy39.16c,PF13561,NA,NA
maba,PF13561,NA,NA
fabg1,PF13561,NA,NA
rv1483,PF13561,NA,NA
mtcy277.04,PF13561,NA,NA
psts3,PF12849,NA,NA
phos2,PF12849,NA,NA
rv0928,PF12849,NA,NA
mtcy21c12.22,PF12849,NA,NA
psts1,PF12849,NA,NA
phos1,PF12849,NA,NA
rv0934,PF12849,NA,NA
mtcy08d9.05c,PF12849,NA,NA
oppa,PF00496,NA,NA
rv1280c,PF00496,NA,NA
mtcy50.02,PF00496,NA,NA
lpqy,PF01547,NA,NA
rv1235,PF01547,NA,NA
ahcy,PF05221,NA,NA
ahcy,PF00670,NA,NA
sahh,PF05221,NA,NA
sahh,PF00670,NA,NA
rv3248c,PF05221,NA,NA
rv3248c,PF00670,NA,NA
mtcy20b11.23c,PF05221,NA,NA
mtcy20b11.23c,PF00670,NA,NA
rpob,PF04563,NA,NA
rpob,PF04561,NA,NA
rpob,PF04565,NA,NA
rpob,PF10385,NA,NA
rpob,PF00562,NA,NA
rpob,PF04560,NA,NA
rv0667,PF04563,NA,NA
rv0667,PF04561,NA,NA
rv0667,PF04565,NA,NA
rv0667,PF10385,NA,NA
rv0667,PF00562,NA,NA
rv0667,PF04560,NA,NA
mtci376.08c,PF04563,NA,NA
mtci376.08c,PF04561,NA,NA
mtci376.08c,PF04565,NA,NA
mtci376.08c,PF10385,NA,NA
mtci376.08c,PF00562,NA,NA
mtci376.08c,PF04560,NA,NA
rnj,PF12706,NA,NA
rnj,PF07521,NA,NA
rnj,PF22505,NA,NA
rnj,PF17770,NA,NA
rv2752c,PF12706,NA,NA
rv2752c,PF07521,NA,NA
rv2752c,PF22505,NA,NA
rv2752c,PF17770,NA,NA
rmlc,PF00908,NA,NA
strm,PF00908,NA,NA
rv3465,PF00908,NA,NA
rmla,PF00483,NA,NA
rfba,PF00483,NA,NA
rv0334,PF00483,NA,NA
rpsa,PF00575,36,105
rv1630,PF00575,36,105
mtcy01b2.22,PF00575,36,105
nrdb,PF00268,NA,NA
